,,,,,close orice,gain and loss,Balance Before Variation,Margin call,Balance including,Balance after Withdrawals,1 = Marigin Call,1 = Incentive to Walk
,daily STD,,,,,,Margin and Withdrawals,, Any Variation Margin Due,Including Variation Margin Due,0 = No Margin Call,
initial Margin,2103.609783,6920.776715,6921,,,,,,,,,
maintenance Margin,1577.707337,5190.582536,5191,,,,,,,,157,
,,,,,,,,,,,,
,,,,,74.74,-90,6831,0,6831,6831,0,
,,,,,75.89,1150,7981,0,7981,6921,0,
,,,,,76.00,110,7031,0,7031,6921,0,
,,,,,75.37,-630,6291,0,6291,6291,0,
,,,,,76.40,1030,7321,0,7321,6921,0,
,,,,,75.93,-470,6451,0,6451,6451,0,
,,,,,75.66,-270,6181,0,6181,6181,0,
,,,,,75.72,60,6241,0,6241,6241,0,
,,,,,76.86,1140,7381,0,7381,6921,0,
,,,,,78.14,1280,8201,0,8201,6921,0,
,,,,,79.04,900,7821,0,7821,6921,0,
,,,,,81.35,2310,9231,0,9231,6921,1,
,,,,,79.42,-1930,4991,1930,6921,6921,0,
,,,,,81.35,1930,8851,0,8851,6921,0,
,,,,,80.45,-900,6021,0,6021,6021,0,
,,,,,81.77,1320,7341,0,7341,6921,0,
,,,,,80.66,-1110,5811,0,5811,5811,0,
,,,,,82.07,1410,7221,0,7221,6921,0,
,,,,,82.50,430,7351,0,7351,6921,0,
,,,,,82.51,10,6931,0,6931,6921,0,
,,,,,82.80,290,7211,0,7211,6921,0,
,,,,,81.38,-1420,5501,0,5501,5501,1,
,,,,,79.89,-1490,4011,2910,6921,6921,0,
,,,,,81.19,1300,8221,0,8221,6921,0,
,,,,,80.66,-530,6391,0,6391,6391,0,
,,,,,82.06,1400,7791,0,7791,6921,0,
,,,,,83.01,950,7871,0,7871,6921,0,
,,,,,85.07,2060,8981,0,8981,6921,0,
,,,,,84.54,-530,6391,0,6391,6391,0,
,,,,,84.54,0,6391,0,6391,6391,0,
,,,,,85.46,920,7311,0,7311,6921,0,
,,,,,85.40,-60,6861,0,6861,6861,1,
,,,,,83.68,-1720,5141,1780,6921,6921,0,
,,,,,82.40,-1280,5641,0,5641,5641,0,
,,,,,83.35,950,6591,0,6591,6591,0,
,,,,,82.87,-480,6111,0,6111,6111,0,
,,,,,84.59,1720,7831,0,7831,6921,0,
,,,,,84.86,270,7191,0,7191,6921,0,
,,,,,83.97,-890,6031,0,6031,6031,0,
,,,,,85.45,1480,7511,0,7511,6921,0,
,,,,,84.51,-940,5981,0,5981,5981,0,
,,,,,84.62,110,6091,0,6091,6091,0,
,,,,,85.47,850,6941,0,6941,6921,0,
,,,,,87.52,2050,8971,0,8971,6921,0,
,,,,,86.14,-1380,5541,0,5541,5541,0,
,,,,,86.17,30,5571,0,5571,5571,0,
,,,,,86.46,290,5861,0,5861,5861,1,
,,,,,85.47,-990,4871,2050,6921,6921,0,
,,,,,86.01,540,7461,0,7461,6921,0,
,,,,,85.71,-300,6621,0,6621,6621,0,
,,,,,86.15,440,7061,0,7061,6921,0,
,,,,,86.38,230,7151,0,7151,6921,0,
,,,,,86.61,230,7151,0,7151,6921,0,
,,,,,86.92,310,7231,0,7231,6921,0,
,,,,,86.20,-720,6201,0,6201,6201,0,
,,,,,85.99,-210,5991,0,5991,5991,0,
,,,,,88.36,2370,8361,0,8361,6921,0,
,,,,,88.99,630,7551,0,7551,6921,0,
,,,,,89.45,460,7381,0,7381,6921,0,
,,,,,87.88,-1570,5351,0,5351,5351,0,
,,,,,88.26,380,5731,0,5731,5731,1,
,,,,,86.84,-1420,4311,2610,6921,6921,0,
,,,,,85.85,-990,5931,0,5931,5931,0,
,,,,,85.55,-300,5631,0,5631,5631,0,
,,,,,86.58,1030,6661,0,6661,6661,0,
,,,,,85.75,-830,5831,0,5831,5831,0,
,,,,,85.16,-590,5241,0,5241,5241,1,
,,,,,84.71,-450,4791,2130,6921,6921,0,
,,,,,84.92,210,7131,0,7131,6921,0,
,,,,,84.54,-380,6541,0,6541,6541,1,
,,,,,83.07,-1470,5071,1850,6921,6921,0,
,,,,,84.68,1610,8531,0,8531,6921,0,
,,,,,86.33,1650,8571,0,8571,6921,0,
,,,,,87.13,800,7721,0,7721,6921,0,
,,,,,87.21,80,7001,0,7001,6921,0,
,,,,,87.88,670,7591,0,7591,6921,0,
,,,,,88.12,240,7161,0,7161,6921,0,
,,,,,86.65,-1470,5451,0,5451,5451,0,
,,,,,87.38,730,6181,0,6181,6181,1,
